file_name	switch_flip_rate	ONT	10xG	PacBio_CCS	PacBio_CLR	num_datasets
compare_w0001.05_t0.tsv	0.009135185000172116	0	0	0	1	1
compare_w001.10_t0.tsv	0.0019898279835672194	0	0	1	0	1
compare_w01.200_t0.tsv	0.00030747059218841794	0	1	0	0	1
compare_w1000_t0.tsv	0.027740285207651653	1	0	0	0	1
compare_w001.11.05_t0.tsv	0.006745831319864821	0	0	1	1	2
compare_w01.201.05_t0.tsv	0.005920795754980634	0	1	0	1	2
compare_w01.21.10_t0.tsv	0.003082883850500519	0	1	1	0	2
compare_w1001.05_t0.tsv	0.010928548885459374	1	0	0	1	2
compare_w101.10_t0.tsv	0.0036823955959409144	1	0	1	0	2
compare_w11.200_t0.tsv	0.01049718097873576	1	1	0	0	2
compare_w01.21.11.05_t0.tsv	0.0032690271993720942	0	1	1	1	3
compare_w101.11.05_t0.tsv	0.0062846597586579565	1	0	1	1	3
compare_w11.201.05_t0.tsv	0.007450069336103734	1	1	0	1	3
compare_w11.21.10_t0.tsv	0.002981531454864595	1	1	1	0	3
compare_w11.21.11.05_t0.tsv	0.004110941263586143	1	1	1	1	4
